total_loss 0.00535320350900,loss_cham 0.00534865679219,delta_strain 0.00114052777644, dleta_sigma: 0.00326762022451, strain_energy: 0.01385877374560
total_loss 0.00104056252167,loss_cham 0.00103666493669,delta_strain 0.00112955458462, dleta_sigma: 0.00264379498549, strain_energy: 0.01242630183697
total_loss 0.00397706683725,loss_cham 0.00397235155106,delta_strain 0.00112658820581, dleta_sigma: 0.00343526038341, strain_energy: 0.01538942195475
total_loss 0.00255308207124,loss_cham 0.00254868669435,delta_strain 0.00112594908569, dleta_sigma: 0.00310530699790, strain_energy: 0.01641993597150
total_loss 0.00212611188181,loss_cham 0.00212141196243,delta_strain 0.00112960860133, dleta_sigma: 0.00339330779389, strain_energy: 0.01769889146090
total_loss 0.00191019475460,loss_cham 0.00190531928092,delta_strain 0.00112480740063, dleta_sigma: 0.00353934732266, strain_energy: 0.02113372087479
total_loss 0.00188977597281,loss_cham 0.00188498734497,delta_strain 0.00112348084804, dleta_sigma: 0.00342723494396, strain_energy: 0.02378141321242
total_loss 0.00255122478120,loss_cham 0.00254557374865,delta_strain 0.00112623558380, dleta_sigma: 0.00423273071647, strain_energy: 0.02921294793487
total_loss 0.00458209775388,loss_cham 0.00457743834704,delta_strain 0.00112132495269, dleta_sigma: 0.00326358666644, strain_energy: 0.02746651135385
total_loss 0.00415467889979,loss_cham 0.00414929585531,delta_strain 0.00112637563143, dleta_sigma: 0.00393124017864, strain_energy: 0.03255463391542
total_loss 0.00318648549728,loss_cham 0.00318255973980,delta_strain 0.00111725204624, dleta_sigma: 0.00253451033495, strain_energy: 0.02737741544843
total_loss 0.00519519718364,loss_cham 0.00519207119942,delta_strain 0.00111233815551, dleta_sigma: 0.00177942286246, strain_energy: 0.02341998368502
total_loss 0.00082453893265,loss_cham 0.00082075782120,delta_strain 0.00109784654342, dleta_sigma: 0.00242163846269, strain_energy: 0.02616145648062
total_loss 0.00374331278726,loss_cham 0.00373943708837,delta_strain 0.00109111948404, dleta_sigma: 0.00251426128671, strain_energy: 0.02703515440226
total_loss 0.00243607326411,loss_cham 0.00243066996336,delta_strain 0.00108304724563, dleta_sigma: 0.00398309249431, strain_energy: 0.03371086716652
total_loss 0.00213841581717,loss_cham 0.00213427189738,delta_strain 0.00107972405385, dleta_sigma: 0.00278465682641, strain_energy: 0.02795689739287
total_loss 0.00194310478400,loss_cham 0.00193862454034,delta_strain 0.00106883852277, dleta_sigma: 0.00312142074108, strain_energy: 0.02900401502848
total_loss 0.00188216671813,loss_cham 0.00187680684030,delta_strain 0.00106597295962, dleta_sigma: 0.00397107657045, strain_energy: 0.03228669613600
total_loss 0.00254123029299,loss_cham 0.00253554340452,delta_strain 0.00106525106821, dleta_sigma: 0.00428943568841, strain_energy: 0.03321899846196
total_loss 0.00460124015808,loss_cham 0.00459698354825,delta_strain 0.00106167583726, dleta_sigma: 0.00292478920892, strain_energy: 0.02702577784657
total_loss 0.00408615404740,loss_cham 0.00408153329045,delta_strain 0.00105996255297, dleta_sigma: 0.00327645195648, strain_energy: 0.02845960482955
total_loss 0.00311804004014,loss_cham 0.00311327353120,delta_strain 0.00106040865649, dleta_sigma: 0.00341900344938, strain_energy: 0.02871238067746
total_loss 0.00522768590599,loss_cham 0.00522345537320,delta_strain 0.00105628429446, dleta_sigma: 0.00290771573782, strain_energy: 0.02666330896318
total_loss 0.00080985517707,loss_cham 0.00080555811292,delta_strain 0.00105090730358, dleta_sigma: 0.00298152863979, strain_energy: 0.02646452188492
total_loss 0.00378750660457,loss_cham 0.00378373893909,delta_strain 0.00105509907007, dleta_sigma: 0.00246657151729, strain_energy: 0.02459031343460
total_loss 0.00244058785029,loss_cham 0.00243489118293,delta_strain 0.00105462595820, dleta_sigma: 0.00430885329843, strain_energy: 0.03332556039095
total_loss 0.00208836118691,loss_cham 0.00208340026438,delta_strain 0.00105207075831, dleta_sigma: 0.00359820039012, strain_energy: 0.03105789609253
total_loss 0.00190075382125,loss_cham 0.00189627497457,delta_strain 0.00105481524952, dleta_sigma: 0.00312539562583, strain_energy: 0.02986211329699
total_loss 0.00189204746857,loss_cham 0.00188665464520,delta_strain 0.00105122977402, dleta_sigma: 0.00399368815124, strain_energy: 0.03478689491749
total_loss 0.00255142524838,loss_cham 0.00254590343684,delta_strain 0.00104992778506, dleta_sigma: 0.00411058776081, strain_energy: 0.03613026440144
total_loss 0.00458391616121,loss_cham 0.00457936385646,delta_strain 0.00104594940785, dleta_sigma: 0.00318322028033, strain_energy: 0.03230209276080
total_loss 0.00410292856395,loss_cham 0.00409733364359,delta_strain 0.00104505079798, dleta_sigma: 0.00417524902150, strain_energy: 0.03747543692589
total_loss 0.00312842847779,loss_cham 0.00312286894768,delta_strain 0.00104198383633, dleta_sigma: 0.00414353888482, strain_energy: 0.03741250932217
total_loss 0.00519229611382,loss_cham 0.00518717709929,delta_strain 0.00103331427090, dleta_sigma: 0.00372479436919, strain_energy: 0.03609627112746
total_loss 0.00079647701932,loss_cham 0.00079273950541,delta_strain 0.00103272683918, dleta_sigma: 0.00241342908703, strain_energy: 0.02913668751717
total_loss 0.00376627477817,loss_cham 0.00376263353974,delta_strain 0.00102633144706, dleta_sigma: 0.00232415483333, strain_energy: 0.02907244302332
total_loss 0.00242946716025,loss_cham 0.00242467131466,delta_strain 0.00102220103145, dleta_sigma: 0.00341819133610, strain_energy: 0.03554401919246
total_loss 0.00208928529173,loss_cham 0.00208438513801,delta_strain 0.00101996597368, dleta_sigma: 0.00351382512599, strain_energy: 0.03662600368261
total_loss 0.00191024353262,loss_cham 0.00190673745237,delta_strain 0.00100894318894, dleta_sigma: 0.00220775092021, strain_energy: 0.02894447930157
total_loss 0.00188654870726,loss_cham 0.00188220781274,delta_strain 0.00100736040622, dleta_sigma: 0.00299243861809, strain_energy: 0.03411484509706
total_loss 0.00253118225373,loss_cham 0.00252665043809,delta_strain 0.00100591010414, dleta_sigma: 0.00316389696673, strain_energy: 0.03620670363307
total_loss 0.00458765774965,loss_cham 0.00458288332447,delta_strain 0.00100158527493, dleta_sigma: 0.00339539861307, strain_energy: 0.03769850730896
total_loss 0.00408938387409,loss_cham 0.00408515054733,delta_strain 0.00100193324033, dleta_sigma: 0.00288453418761, strain_energy: 0.03471167385578
total_loss 0.00311865098774,loss_cham 0.00311358040199,delta_strain 0.00099643319845, dleta_sigma: 0.00368055887520, strain_energy: 0.03934705257416
total_loss 0.00520739052445,loss_cham 0.00520380213857,delta_strain 0.00099217426032, dleta_sigma: 0.00228349003009, strain_energy: 0.03124572150409
total_loss 0.00079544587061,loss_cham 0.00079009821638,delta_strain 0.00099367136136, dleta_sigma: 0.00394074805081, strain_energy: 0.04132225364447
total_loss 0.00376664428040,loss_cham 0.00376234622672,delta_strain 0.00098940683529, dleta_sigma: 0.00294849858619, strain_energy: 0.03602604940534
total_loss 0.00242903083563,loss_cham 0.00242493860424,delta_strain 0.00098828820046, dleta_sigma: 0.00274972850457, strain_energy: 0.03541567176580
